City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
129,Palana,RU,59.1167,159.9667,13.15,84,100,20.04,overcast clouds
130,Suratgarh,IN,29.3167,73.9,56.26,23,60,5.73,broken clouds
131,Galesong,ID,-5.3166,119.3661,77.02,81,99,6.85,overcast clouds
132,Agadir,MA,30.4202,-9.5982,52.25,43,43,7.4,scattered clouds
133,Pangnirtung,CA,66.1451,-65.7125,-4.43,71,62,6.46,broken clouds
134,Cockburn Town,TC,21.4612,-71.1419,78.76,73,40,9.22,scattered clouds
135,Sur,OM,22.5667,59.5289,70.36,63,6,6.11,clear sky
136,Taoudenni,ML,22.6783,-3.9836,67.14,18,56,14.92,broken clouds
137,Nantucket,US,41.2835,-70.0995,43.97,56,1,10.36,clear sky
138,Bathsheba,BB,13.2167,-59.5167,81.21,78,40,19.57,scattered clouds
139,Kavieng,PG,-2.5744,150.7967,84.61,72,100,7.16,light rain
140,Yuancheng,CN,36.652,107.7896,22.24,73,0,1.99,clear sky
141,Sfantu Gheorghe,RO,45.8667,25.7833,41.27,93,75,2.46,broken clouds
142,Lorengau,PG,-2.0226,147.2712,83.52,80,100,15.75,overcast clouds
143,Choya,RU,52.0108,86.5467,16.65,95,100,4.27,light snow
144,Faya,SA,18.3851,42.4509,46.92,44,8,3.22,clear sky
145,Garissa,KE,-0.4536,39.6401,77.86,75,100,8.84,overcast clouds
146,Cidreira,BR,-30.1811,-50.2056,71.49,87,1,13.94,clear sky
147,Isangel,VU,-19.55,169.2667,83.71,76,100,11.01,overcast clouds
148,Sistranda,NO,63.7256,8.834,40.89,77,100,9.71,overcast clouds
149,Saint Anthony,US,45.0205,-93.218,34.75,68,1,3.0,clear sky
150,Ponta Do Sol,PT,32.6667,-17.1,65.01,78,46,1.7,scattered clouds
151,Codrington,AU,-38.2667,141.9667,84.51,23,68,13.13,broken clouds
152,Nacala,MZ,-14.5428,40.6728,77.22,84,59,6.15,broken clouds
153,Saint-Philippe,RE,-21.3585,55.7679,76.59,74,74,11.39,broken clouds
154,Rawson,AR,-43.3002,-65.1023,58.75,66,91,17.87,light rain
155,Sault Sainte Marie,CA,46.5168,-84.3333,39.49,70,1,12.66,clear sky
156,Khawhai,IN,23.3667,93.1167,42.19,92,1,3.06,clear sky
157,Broome,US,42.2506,-75.833,39.65,58,1,1.99,clear sky
158,Chokurdakh,RU,70.6333,147.9167,-38.67,97,98,2.33,overcast clouds
159,Mar Del Plata,AR,-38.0023,-57.5575,71.62,83,40,10.0,scattered clouds
160,Qaqortoq,GL,60.7167,-46.0333,19.9,85,8,4.94,clear sky
161,Meulaboh,ID,4.1363,96.1285,75.45,90,88,1.63,overcast clouds
162,Dong Xoai,VN,11.5333,106.9167,71.42,69,77,9.57,broken clouds
163,Plessisville,CA,46.2186,-71.762,37.08,70,40,17.47,scattered clouds
164,Khatanga,RU,71.9667,102.5,-51.12,99,80,3.85,broken clouds
165,Kodiak,US,57.79,-152.4072,14.29,62,20,25.32,few clouds
166,Yulara,AU,-25.2406,130.9889,80.44,54,99,6.91,overcast clouds
167,Castro,BR,-24.7911,-50.0119,69.82,55,93,4.81,overcast clouds
168,Bambous Virieux,MU,-20.3428,57.7575,73.65,88,75,3.44,light rain
169,Abu Dhabi,AE,24.4667,54.3667,71.96,66,93,8.39,overcast clouds
170,Geraldton,AU,-28.7667,114.6,65.12,68,49,8.05,scattered clouds
171,Ostrovnoy,RU,68.0531,39.5131,29.86,92,100,14.92,overcast clouds
172,Carnarvon,AU,-24.8667,113.6333,71.67,68,3,20.71,clear sky
173,Clyde River,CA,70.4692,-68.5914,-1.97,92,90,11.5,light snow
174,Thompson,CA,55.7435,-97.8558,3.36,85,90,0.0,light snow
175,Ahipara,NZ,-35.1667,173.1667,70.03,94,100,7.83,overcast clouds
176,Vigrestad,NO,58.5667,5.7,44.01,87,100,14.61,overcast clouds
177,Port Hardy,CA,50.6996,-127.4199,37.4,93,75,6.91,light shower snow
178,Henties Bay,NA,-22.116,14.2845,60.85,90,0,6.93,clear sky
179,Lavumisa,SZ,-27.31,31.892,70.56,95,100,2.24,light rain
180,Meadow Lake,US,34.8014,-106.5436,56.17,24,2,2.57,clear sky
181,Coihaique,CL,-45.5752,-72.0662,57.15,47,75,5.75,broken clouds
182,Camalu,MX,30.85,-116.0667,61.43,63,0,7.94,clear sky
183,San Juan,AR,-31.5375,-68.5364,74.86,44,7,18.52,clear sky
184,Komsomolskiy,UZ,40.4272,71.7189,35.02,60,53,6.91,haze
185,Coihueco,CL,-36.6167,-71.8333,66.94,34,4,8.05,clear sky
186,Necochea,AR,-38.5473,-58.7368,65.03,67,75,7.54,broken clouds
187,Hasaki,JP,35.7333,140.8333,50.29,50,65,19.22,broken clouds
188,Caceres,ES,39.522,-6.3748,47.8,88,2,4.25,clear sky
189,Hofn,IS,64.2539,-15.2082,38.52,92,100,0.34,overcast clouds
190,Bugene,TZ,-1.5911,31.1403,60.46,88,100,2.57,overcast clouds
191,Egvekinot,RU,66.3167,-179.1667,-22.83,80,1,6.58,clear sky
192,Mayumba,GA,-3.432,10.6554,76.39,90,93,1.32,overcast clouds
193,Lavrentiya,RU,65.5833,-171.0,-14.62,88,18,2.93,few clouds
194,Puerto Del Rosario,ES,28.5004,-13.8627,64.15,88,20,6.91,few clouds
195,Kamina,CD,-8.7386,24.9906,65.1,97,100,6.13,overcast clouds
196,Prescott,US,34.54,-112.4685,58.21,30,1,4.0,clear sky
197,Santa Cruz De La Palma,ES,28.6835,-17.7642,66.34,59,40,9.22,scattered clouds
198,Koundara,GN,12.4833,-13.3,77.43,32,12,1.39,few clouds
199,Horki,BY,54.2861,30.9842,32.95,97,100,6.46,light snow
200,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,88,82,4.61,broken clouds
201,La Ronge,CA,55.1001,-105.2842,10.65,85,90,1.14,overcast clouds
202,Pevek,RU,69.7008,170.3133,-32.93,96,13,1.54,few clouds
203,Aksu,CN,41.1231,80.2644,18.82,75,13,0.89,few clouds
204,Fort Nelson,CA,58.8053,-122.7002,0.99,85,75,4.61,light snow
205,Sulangan,PH,11.1373,123.7228,80.82,84,62,16.11,broken clouds
206,Porto Novo,BJ,6.4965,2.6036,84.02,83,27,5.28,scattered clouds
207,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,74.73,93,97,3.65,moderate rain
208,Catio,GW,11.2833,-15.25,77.4,81,13,5.99,few clouds
209,Kloulklubed,PW,7.0419,134.2556,81.1,80,67,13.96,broken clouds
210,Abu Samrah,SY,35.3029,37.1841,55.38,48,96,7.14,overcast clouds
211,Victoria,HK,22.2855,114.1577,65.32,72,53,1.99,broken clouds
212,Kahului,US,20.8947,-156.47,81.97,73,20,24.16,few clouds
213,Alofi,NU,-19.0595,-169.9187,82.29,74,6,8.05,clear sky
214,Svetlaya,RU,46.5389,138.3297,20.17,54,100,18.79,overcast clouds
215,Baglan,AF,36.1307,68.7083,40.78,61,36,1.48,scattered clouds
216,Ambulu,ID,-8.345,113.6058,80.74,83,83,2.51,broken clouds
217,Provideniya,RU,64.3833,-173.3,-8.64,70,0,6.71,clear sky
218,Lagoa,PT,39.05,-27.9833,57.74,53,100,22.57,overcast clouds
219,Abalak,RU,58.1286,68.5944,12.29,91,86,7.9,overcast clouds
220,Jiexiu,CN,37.0244,111.9125,29.62,35,0,2.73,clear sky
221,Ilulissat,GL,69.2167,-51.1,19.42,63,75,9.22,broken clouds
222,Alaca,TR,40.1683,34.8425,44.1,50,0,4.45,clear sky
223,Padang,ID,-0.9492,100.3543,77.05,93,100,1.66,overcast clouds
224,Tuburan,PH,6.6439,122.2736,78.89,70,27,3.85,scattered clouds
225,Camacha,PT,33.0833,-16.3333,61.54,94,40,6.91,scattered clouds
226,Nalut,LY,30.3333,10.85,44.02,60,4,8.19,clear sky
227,Mount Isa,AU,-20.7333,139.5,94.77,12,7,11.5,clear sky
228,Am Timan,TD,11.0297,20.2827,77.2,26,100,5.7,overcast clouds
229,Gisborne,NZ,-38.6533,178.0042,69.94,94,100,6.4,overcast clouds
230,Archidona,ES,37.0965,-4.3887,51.37,78,2,5.46,clear sky
231,Constitucion,CL,-35.3333,-72.4167,55.22,69,1,17.2,clear sky
232,Algeciras,ES,36.1333,-5.4505,62.37,94,20,14.97,few clouds
233,Cayenne,GF,4.9333,-52.3333,77.04,90,75,5.01,broken clouds
234,Lasa,IT,46.6166,10.7002,40.08,93,60,6.73,broken clouds
235,Sao Felix Do Xingu,BR,-6.6447,-51.995,73.62,98,100,1.03,overcast clouds
236,Maumere,ID,-8.6199,122.2111,83.19,74,100,2.66,overcast clouds
237,Acapulco,MX,16.8634,-99.8901,84.02,74,1,9.22,clear sky
238,Hoi An,VN,15.8794,108.335,75.16,79,84,14.83,broken clouds
239,Touros,BR,-5.1989,-35.4608,83.3,77,8,15.52,clear sky
240,Vanderhoof,CA,54.0166,-124.0198,20.26,91,98,2.13,overcast clouds
241,College,US,64.8569,-147.8028,-10.8,62,75,3.44,mist
242,Ancud,CL,-41.8697,-73.8203,57.42,75,48,7.92,scattered clouds
243,Dunedin,NZ,-45.8742,170.5036,64.8,60,62,5.01,broken clouds
244,Nong Khai,TH,17.9167,103.0833,62.78,80,11,6.29,few clouds
245,Mayo,US,38.8876,-76.5119,45.99,52,1,1.01,clear sky
246,Glendive,US,47.1053,-104.7125,44.22,49,1,6.91,clear sky
247,Sanmenxia,CN,34.7747,111.1814,34.07,66,0,6.49,clear sky
248,Santa Cruz,BO,-17.8,-63.1667,78.85,89,75,5.75,broken clouds
249,Marshfield,US,44.6689,-90.1718,35.33,59,1,9.22,clear sky
250,Dingle,PH,10.9995,122.6711,80.01,86,84,9.73,broken clouds
251,Kuytun,RU,54.3419,101.5036,13.55,88,100,9.1,overcast clouds
252,Noumea,NC,-22.2763,166.4572,82.38,87,100,2.42,moderate rain
253,Luderitz,NA,-26.6481,15.1594,61.38,81,7,11.32,clear sky
254,Farafangana,MG,-22.8167,47.8333,73.02,84,35,3.69,scattered clouds
255,Morondava,MG,-20.2833,44.2833,78.64,74,78,3.74,broken clouds
256,Zyryanka,RU,65.75,150.85,-33.11,94,100,9.55,overcast clouds
257,Rocha,UY,-34.4833,-54.3333,68.86,77,71,7.29,broken clouds
258,Atbasar,KZ,51.8,68.3333,-1.14,97,10,4.36,clear sky
259,Udachnyy,RU,66.4167,112.4,-47.56,71,100,3.74,overcast clouds
260,Nemuro,JP,43.3236,145.575,31.01,62,17,31.9,few clouds
261,Namatanai,PG,-3.6667,152.4333,84.76,68,94,4.68,overcast clouds
262,Eyl,SO,7.9803,49.8164,75.02,77,19,19.48,few clouds
263,Sakaiminato,JP,35.55,133.2333,46.38,61,75,10.36,broken clouds
264,Paamiut,GL,61.994,-49.6678,10.85,78,1,6.49,clear sky
265,Arlit,NE,18.7369,7.3853,68.59,8,89,6.53,overcast clouds
266,Mae Sai,TH,20.4335,99.8762,62.44,90,9,1.1,clear sky
267,Yenagoa,NG,4.9247,6.2642,80.19,83,76,4.05,broken clouds
268,Allapalli,IN,19.4167,80.0667,58.78,66,26,1.99,scattered clouds
269,Navalmoral De La Mata,ES,39.8916,-5.5406,50.95,84,8,4.16,clear sky
270,Visnes,NO,59.3556,5.2242,44.22,81,90,12.66,overcast clouds
271,Zhangye,CN,38.9342,100.4517,18.7,45,0,3.56,clear sky
272,Halifax,CA,44.6453,-63.5724,39.25,65,100,8.01,overcast clouds
273,Caravelas,BR,-17.7125,-39.2481,76.57,86,59,8.68,broken clouds
274,Seymchan,RU,62.8833,152.4333,-14.8,98,100,8.48,light snow
275,Mathbaria,BD,22.2876,89.9593,57.11,54,1,5.99,clear sky
276,Green Valley,US,31.8543,-110.9937,75.16,29,9,5.75,clear sky
277,Bud,US,39.447,-86.1758,42.82,58,5,7.61,clear sky
278,Husavik,IS,66.0449,-17.3389,37.31,79,95,13.8,overcast clouds
279,Seydi,TM,39.4816,62.9137,45.34,87,99,8.5,light rain
280,Ken Caryl,US,39.5773,-105.1169,60.17,30,44,1.01,scattered clouds
281,Kapchorwa,UG,1.3965,34.4509,59.88,61,79,6.4,broken clouds
