City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
110,Kaitangata,NZ,2021-12-12 18:48:42,-46.2817,169.8464,54.93,77,64,2.37
111,Luwuk,ID,2021-12-12 18:48:43,-0.9516,122.7875,78.1,85,99,3.6
112,Portland,US,2021-12-12 18:45:38,45.5234,-122.6762,44.47,90,75,3.0
113,Ola,RU,2021-12-12 18:48:43,59.5833,151.2833,14.9,93,100,8.68
114,Dingle,PH,2021-12-12 18:48:43,10.9995,122.6711,75.42,93,100,7.72
115,Teknaf,BD,2021-12-12 18:48:44,20.8624,92.3058,67.17,63,6,11.27
116,Nukus,UZ,2021-12-12 18:48:44,42.4531,59.6103,31.98,93,90,9.22
117,Koshurnikovo,RU,2021-12-12 18:48:44,54.1667,93.3,14.22,97,100,1.74
118,Vanavara,RU,2021-12-12 18:48:44,60.34,102.2797,-34.37,99,29,3.47
119,Cabo San Lucas,MX,2021-12-12 18:48:45,22.8909,-109.9124,80.06,65,20,1.99
120,Peebles,GB,2021-12-12 18:48:45,55.6519,-3.1888,53.98,53,100,10.0
121,Yellowknife,CA,2021-12-12 18:44:58,62.456,-114.3525,10.42,89,75,10.36
122,Tasiilaq,GL,2021-12-12 18:48:45,65.6145,-37.6368,37.56,70,100,19.73
123,Hoima,UG,2021-12-12 18:48:46,1.4356,31.3436,71.62,38,100,1.1
124,Nouadhibou,MR,2021-12-12 18:48:46,20.931,-17.0347,71.58,60,0,13.8
125,Ashtian,IR,2021-12-12 18:48:46,34.5217,50.0019,37.9,35,0,1.25
126,Lasa,IT,2021-12-12 18:48:47,46.6166,10.7002,40.08,85,31,7.54
127,Lisakovsk,KZ,2021-12-12 18:48:47,52.5369,62.4936,5.05,93,10,4.94
128,Dikson,RU,2021-12-12 18:48:47,73.5069,80.5464,-18.36,94,98,12.8
129,Leh,IN,2021-12-12 18:48:48,34.1667,77.5833,10.27,60,89,1.74
130,Aklavik,CA,2021-12-12 18:48:48,68.2191,-135.0107,-1.37,90,100,22.75
131,Yaan,NG,2021-12-12 18:48:48,7.3833,8.5667,84.76,17,85,4.43
132,Qaanaaq,GL,2021-12-12 18:48:46,77.484,-69.3632,-3.95,68,42,3.18
133,Hailey,US,2021-12-12 18:48:48,43.5196,-114.3153,31.89,85,90,6.91
134,Pangody,RU,2021-12-12 18:48:49,65.85,74.4859,-25.91,100,28,4.88
135,Faanui,PF,2021-12-12 18:48:49,-16.4833,-151.75,80.51,73,100,9.86
136,Nagorsk,RU,2021-12-12 18:48:49,59.3172,50.8078,6.58,90,40,6.17
137,Port Macquarie,AU,2021-12-12 18:48:50,-31.4333,152.9167,60.89,87,1,9.31
138,Katsuura,JP,2021-12-12 18:44:34,35.1333,140.3,54.1,65,19,6.76
139,Yulara,AU,2021-12-12 18:49:50,-25.2406,130.9889,69.64,88,90,5.75
140,Marsa Matruh,EG,2021-12-12 18:49:50,31.3525,27.2453,63.14,34,100,5.41
141,Misratah,LY,2021-12-12 18:49:51,32.3754,15.0925,59.81,55,82,13.13
